Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2025-01-24,106272403152,1,2.283,2025,Micro_01
Wilkne,2025-01-24,106272403152,2,2.29,2025,Micro_01
Wilkne,2025-01-24,106272403152,3,2.289,2025,Micro_01
Wilkne,2025-01-24,106272403152,4,2.321,2025,Micro_01
Wilkne,2025-01-24,106272403916,1,2.28,2025,Micro_02
Wilkne,2025-01-24,106272403916,2,2.286,2025,Micro_02
Wilkne,2025-01-24,106272403916,3,2.245,2025,Micro_02
Wilkne,2025-01-24,106272403916,4,2.303,2025,Micro_02
Wilkne,2025-01-24,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-24,106272404964,2,2.192,2025,Micro_03
Wilkne,2025-01-24,106272404964,3,2.145,2025,Micro_03
Wilkne,2025-01-24,106272404964,4,2.189,2025,Micro_03
Wilkne,2025-01-18,106272403152,1,1.522,2025,Micro_01
Wilkne,2025-01-18,106272403152,2,1.525,2025,Micro_01
Wilkne,2025-01-18,106272403152,3,1.523,2025,Micro_01
Wilkne,2025-01-18,106272403152,4,1.536,2025,Micro_01
Wilkne,2025-01-18,106272403916,1,1.531,2025,Micro_02
Wilkne,2025-01-18,106272403916,2,1.525,2025,Micro_02
Wilkne,2025-01-18,106272403916,3,1.508,2025,Micro_02
Wilkne,2025-01-18,106272403916,4,1.544,2025,Micro_02
Wilkne,2025-01-18,106272404964,1,0.011,2025,Micro_03
Wilkne,2025-01-18,106272404964,2,1.487,2025,Micro_03
Wilkne,2025-01-18,106272404964,3,1.471,2025,Micro_03
Wilkne,2025-01-18,106272404964,4,1.485,2025,Micro_03
Wilkne,2025-01-19,106272403152,1,1.938,2025,Micro_01
Wilkne,2025-01-19,106272403152,2,1.938,2025,Micro_01
Wilkne,2025-01-19,106272403152,3,1.939,2025,Micro_01
Wilkne,2025-01-19,106272403152,4,1.95,2025,Micro_01
Wilkne,2025-01-19,106272403916,1,1.943,2025,Micro_02
Wilkne,2025-01-19,106272403916,2,1.934,2025,Micro_02
Wilkne,2025-01-19,106272403916,3,1.909,2025,Micro_02
Wilkne,2025-01-19,106272403916,4,1.961,2025,Micro_02
Wilkne,2025-01-19,106272404964,1,0.011,2025,Micro_03
