Plant Name,Date,Sn,Port,Energy (kWh),ID,SN,Microinversor
Wilkne,2022-11-20,,1,2.414,289.0,106272403152.0,Microinversor_2
Wilkne,2022-11-20,,2,2.399,290.0,106272403152.0,Microinversor_2
Wilkne,2022-11-20,,3,2.406,291.0,106272403152.0,Microinversor_2
Wilkne,2022-11-20,,4,2.424,292.0,106272403152.0,Microinversor_2
Wilkne,2022-11-20,,1,2.415,293.0,106272403916.0,Microinversor_3
Wilkne,2022-11-20,,2,2.413,294.0,106272403916.0,Microinversor_3
Wilkne,2022-11-20,,3,2.371,295.0,106272403916.0,Microinversor_3
Wilkne,2022-11-20,,4,2.453,296.0,106272403916.0,Microinversor_3
Wilkne,2022-11-20,,1,0.0,297.0,116191966583.0,Microinversor_5
Wilkne,2022-11-20,,2,0.0,298.0,116191966583.0,Microinversor_5
Wilkne,2022-11-20,,3,2.228,299.0,116191966583.0,Microinversor_5
Wilkne,2022-11-20,,4,2.258,300.0,116191966583.0,Microinversor_5
Wilkne,2022-01-19,,1,2.604,301.0,106272403152.0,Microinversor_2
Wilkne,2022-01-19,,2,2.581,302.0,106272403152.0,Microinversor_2
Wilkne,2022-01-19,,3,2.582,303.0,106272403152.0,Microinversor_2
Wilkne,2022-01-19,,4,2.595,304.0,106272403152.0,Microinversor_2
Wilkne,2022-01-19,,1,2.565,305.0,106272403916.0,Microinversor_3
Wilkne,2022-01-19,,2,2.567,306.0,106272403916.0,Microinversor_3
Wilkne,2022-01-19,,3,2.531,307.0,106272403916.0,Microinversor_3
Wilkne,2022-01-19,,4,2.606,308.0,106272403916.0,Microinversor_3
Wilkne,2022-01-19,,1,0.0,309.0,116191966583.0,Microinversor_5
Wilkne,2022-01-19,,2,0.0,310.0,116191966583.0,Microinversor_5
Wilkne,2022-01-19,,3,2.299,311.0,116191966583.0,Microinversor_5
Wilkne,2022-01-19,,4,2.317,312.0,116191966583.0,Microinversor_5
Wilkne,2023-07-27,,1,2.058,313.0,106272403152.0,Microinversor_2
Wilkne,2023-07-27,,2,2.06,314.0,106272403152.0,Microinversor_2
Wilkne,2023-07-27,,3,2.048,315.0,106272403152.0,Microinversor_2
Wilkne,2023-07-27,,4,2.07,316.0,106272403152.0,Microinversor_2
Wilkne,2023-07-27,,1,2.063,317.0,106272403916.0,Microinversor_3
Wilkne,2023-07-27,,2,2.062,318.0,106272403916.0,Microinversor_3
Wilkne,2023-07-27,,3,2.044,319.0,106272403916.0,Microinversor_3
Wilkne,2023-07-27,,4,2.087,320.0,106272403916.0,Microinversor_3
Wilkne,2023-07-27,,1,0.013,321.0,116191966583.0,Microinversor_5
Wilkne,2023-07-27,,2,2.299,322.0,116191966583.0,Microinversor_5
Wilkne,2023-07-27,,3,2.279,323.0,116191966583.0,Microinversor_5
Wilkne,2023-07-27,,4,2.311,324.0,116191966583.0,Microinversor_5
Wilkne,2022-06-10,,1,1.975,325.0,106272403152.0,Microinversor_2
Wilkne,2022-06-10,,2,1.973,326.0,106272403152.0,Microinversor_2
Wilkne,2022-06-10,,3,1.961,327.0,106272403152.0,Microinversor_2
Wilkne,2022-06-10,,4,1.967,328.0,106272403152.0,Microinversor_2
Wilkne,2022-06-10,,1,1.982,329.0,106272403916.0,Microinversor_3
Wilkne,2022-06-10,,2,1.979,330.0,106272403916.0,Microinversor_3
Wilkne,2022-06-10,,3,1.971,331.0,106272403916.0,Microinversor_3
Wilkne,2022-06-10,,4,2.0,332.0,106272403916.0,Microinversor_3
Wilkne,2022-06-10,,1,0.0,333.0,116191966583.0,Microinversor_5
Wilkne,2022-06-10,,2,0.0,334.0,116191966583.0,Microinversor_5
Wilkne,2022-06-10,,3,2.175,335.0,116191966583.0,Microinversor_5
Wilkne,2022-06-10,,4,2.202,336.0,116191966583.0,Microinversor_5
Wilkne,2022-08-29,,1,2.324,337.0,106272403152.0,Microinversor_2
Wilkne,2022-08-29,,2,2.306,338.0,106272403152.0,Microinversor_2
Wilkne,2022-08-29,,3,2.294,339.0,106272403152.0,Microinversor_2
Wilkne,2022-08-29,,4,2.306,340.0,106272403152.0,Microinversor_2
Wilkne,2022-08-29,,1,2.305,341.0,106272403916.0,Microinversor_3
Wilkne,2022-08-29,,2,2.301,342.0,106272403916.0,Microinversor_3
Wilkne,2022-08-29,,3,2.291,343.0,106272403916.0,Microinversor_3
Wilkne,2022-08-29,,4,2.345,344.0,106272403916.0,Microinversor_3
